sim_id,w_r,h_si,doping,S,lambda,length,v_pi_V,v_pi_l_Vmm,loss_at_v_pi_dB_per_cm,C_at_v_pi_pF_per_cm,max_dphi_rad,cost,kappa
269,3.5e-07,1.2e-07,1e+17,4.601121e-07,1.261109e-06,0.0007130022,0.9942881,0.7089296,15.07814,3203.788,33.9778,0.5354786,
270,3.885387e-07,1e-07,5.489657e+19,8e-07,1.321184e-06,0.0001658615,1.070989,0.1776359,86.37553,14965.01,13.55342,9.341692,
272,3.739441e-07,1e-07,4.943562e+19,8e-07,1.335942e-06,0.0001950859,1.038541,0.2026047,72.29645,14367.56,15.71243,6.553995,
273,3.641242e-07,9e-08,7.748111e+19,8e-07,1.312786e-06,0.0001310941,1.11705,0.1464386,112.5752,13749.15,10.95494,15.8522,
274,5e-07,9e-08,1e+17,6.894641e-08,1.26e-06,0.0001898829,1.517062,0.2880643,69.677,3538.763,9.026953,6.110096,
275,3.709548e-07,1.3e-07,2.595473e+20,8e-07,1.352866e-06,0.0004937418,0.911799,0.4501933,25.2982,6855.7,46.2159,0.9013354,
276,4.133159e-07,1e-07,7.936429e+19,7.50165e-07,1.331512e-06,0.0001642597,1.068051,0.1754377,88.13673,14021.99,13.37144,9.725493,
277,3.900062e-07,1e-07,4.502043e+20,6.432945e-07,1.285203e-06,0.0004023694,0.9267268,0.3728866,29.84432,5589.27,39.09239,1.182876,
278,3.5e-07,9e-08,9.493098e+19,5.987196e-07,1.290055e-06,0.0001334994,1.129166,0.150743,109.4002,12080.63,5.670855,14.97187,
279,3.741896e-07,1e-07,7.448242e+19,8e-07,1.33735e-06,0.0001539254,1.087033,0.1673221,95.5777,14515.36,12.50591,11.43287,
280,3.740418e-07,1e-07,4.607818e+20,4.129579e-07,1.285732e-06,0.0003980409,0.9225428,0.3672097,30.39896,4830.624,37.94301,1.222542,
281,3.781969e-07,1e-07,8.571043e+19,7.943323e-07,1.333849e-06,0.0001290733,1.1329,0.1462271,116.6265,14866.91,10.56676,17.01287,
282,3.602211e-07,1e-07,9.743629e+19,2.045734e-07,1.330191e-06,0.0001137771,1.192136,0.1356378,134.872,10950.26,8.514729,22.74728,
283,3.618963e-07,1e-07,9.393745e+19,6.611736e-07,1.330653e-06,0.0001139598,1.179099,0.1343698,134.3347,13826.31,9.15201,22.56628,
284,5e-07,1.2e-07,1e+17,1.314572e-07,1.276559e-06,0.0005482577,1.040031,0.5702049,20.48487,3635.783,28.82577,0.687104,
285,3.769993e-07,1e-07,8.9338e+19,6.545293e-07,1.328682e-06,0.0001098255,1.196267,0.1313805,139.9737,14024.71,8.81405,24.49943,
286,3.511992e-07,9e-08,7.158619e+19,4.920505e-07,1.274767e-06,0.0001536767,,0.3841919,11147.4,,2.202498,63.14682,
287,3.733909e-07,1e-07,9.114819e+19,6.809433e-07,1.329301e-06,0.0001123682,1.184852,0.1331397,136.3872,14113.11,9.061744,23.26069,
288,3.59585e-07,1e-07,9.11221e+19,8e-07,1.330233e-06,0.0001116149,1.220387,0.1362134,139.3467,14867.99,8.428499,24.28116,
289,3.652262e-07,1e-07,9.599332e+19,6.963806e-07,1.326112e-06,0.0001052427,1.209509,0.127292,146.7015,14029.61,8.546825,26.90976,
290,3.747864e-07,1e-07,9.337694e+19,7.330606e-07,1.325937e-06,0.000105215,1.208854,0.1271896,146.7267,14419.99,8.599492,26.919,
